"saat","tarix1","hefte","kwh"
"2AM",2014-07-17,"четверг","0.437kwh"
"6AM",2014-02-21,"пятница","41.31kwh"
"1AM",2014-03-23,"воскресенье","0.286kwh"
"5PM",2014-12-24,"среда","1.516kwh"
"11AM",2014-04-29,"вторник","0.174kwh"
"8AM",2014-11-09,"воскресенье","40.62kwh"
"4PM",2014-08-29,"пятница","0.552kwh"
"2AM",2014-05-26,"понедельник","0.134kwh"
"8PM",2014-07-11,"пятница","4.301kwh"
"6PM",2014-05-26,"понедельник","1.344kwh"
"4PM",2014-12-31,"среда","40.44kwh"
"2PM",2014-08-02,"суббота","0.979kwh"
"2PM",2014-02-19,"среда","0.394kwh"
"9PM",2014-10-27,"понедельник","0.407kwh"
"4PM",2014-06-11,"среда","0.756kwh"
"2AM",2014-04-21,"понедельник","0.061kwh"
"4AM",2014-12-24,"среда","0.209kwh"
"1PM",2014-02-18,"вторник","0.451kwh"
"2AM",2014-01-20,"понедельник","0.376kwh"
"8AM",2014-09-20,"суббота","0.874kwh"
"5AM",2014-02-22,"суббота","0.371kwh"
"12AM",2014-03-12,"среда","0.218kwh"
"7PM",2014-08-24,"воскресенье","2.052kwh"
"1AM",2014-07-14,"понедельник","0.576kwh"
"5PM",2014-03-21,"пятница","0.832kwh"
"1PM",2014-08-18,"понедельник","0.408kwh"
"7PM",2014-09-28,"воскресенье","1.474kwh"
"1PM",2014-11-01,"суббота","0.243kwh"
"7PM",2014-06-18,"среда","3.013kwh"
"12AM",2014-08-14,"четверг","0.392kwh"
"4AM",2014-04-22,"вторник","0.062kwh"
"12AM",2014-12-20,"суббота","0.898kwh"
"8PM",2014-02-14,"пятница","2.131kwh"
"2PM",2014-11-10,"понедельник","0.189kwh"
"3PM",2014-03-16,"воскресенье","0.648kwh"
"2AM",2014-04-13,"воскресенье","0.077kwh"
"12AM",2014-10-11,"суббота","0.422kwh"
"4AM",2014-03-18,"вторник","0.179kwh"
"1PM",2014-01-25,"суббота","1.404kwh"
"7PM",2014-11-09,"воскресенье","0.956kwh"
"2AM",2014-04-01,"вторник","0.052kwh"
"3AM",2014-11-19,"среда","40.09kwh"
"3PM",2014-07-27,"воскресенье","41.75kwh"
"1PM",2014-07-10,"четверг","0.922kwh"
"6PM",2014-10-19,"воскресенье","0.983kwh"
"5AM",2014-12-18,"четверг","41.21kwh"
"11PM",2014-05-16,"пятница","0.872kwh"
"12PM",2014-01-31,"пятница","40.97kwh"
"7AM",2014-10-12,"воскресенье","0.706kwh"
"10AM",2014-05-28,"среда","0.291kwh"
"7AM",2014-02-26,"среда","1.296kwh"
"3AM",2014-06-25,"среда","0.392kwh"
"9PM",2014-05-17,"суббота","0.384kwh"
"4PM",2014-01-16,"четверг","0.832kwh"
"9PM",2014-02-11,"вторник","0.727kwh"
"12AM",2014-09-15,"понедельник","0.248kwh"
"10AM",2014-08-16,"суббота","0.713kwh"
"1PM",2014-06-25,"среда","0.691kwh"
"1AM",2014-03-27,"четверг","0.141kwh"
"4AM",2014-03-27,"четверг","0.173kwh"
"7PM",2014-12-31,"среда","41.94kwh"
"10AM",2014-11-30,"воскресенье","0.297kwh"
"1PM",2014-06-26,"четверг","0.634kwh"
"3AM",2014-05-28,"среда","0.133kwh"
"9PM",2014-12-22,"понедельник","0.779kwh"
"7PM",2014-08-30,"суббота","1.922kwh"
"2PM",2014-03-03,"понедельник","0.339kwh"
"7AM",2014-09-28,"воскресенье","0.731kwh"
"11PM",2014-10-11,"суббота","0.684kwh"
"12PM",2014-08-01,"пятница","0.528kwh"
"7PM",2014-09-19,"пятница","1.197kwh"
"8AM",2014-10-17,"пятница","40.25kwh"
"5AM",2014-11-22,"суббота","0.139kwh"
"9AM",2014-04-11,"пятница","0.086kwh"
"8AM",2014-08-19,"вторник","0.538kwh"
"7PM",2014-05-18,"воскресенье","1.354kwh"
"9AM",2014-08-11,"понедельник","0.346kwh"
"5PM",2014-02-11,"вторник","1.404kwh"
"7AM",2014-02-07,"пятница","1.264kwh"
"3PM",2014-03-31,"понедельник","0.378kwh"
"5AM",2014-02-25,"вторник","1.162kwh"
"2AM",2014-02-23,"воскресенье","0.335kwh"
"7AM",2014-12-08,"понедельник","1.069kwh"
"2PM",2014-10-30,"четверг","0.228kwh"
"9PM",2014-06-28,"суббота","0.605kwh"
"3AM",2014-09-26,"пятница","0.134kwh"
"8AM",2014-10-14,"вторник","0.233kwh"
"11AM",2014-07-20,"воскресенье","1.339kwh"
"9PM",2014-03-11,"вторник","0.562kwh"
"12AM",2014-11-24,"понедельник","0.135kwh"
"4PM",2014-12-01,"понедельник","0.361kwh"
"8AM",2014-11-16,"воскресенье","40.48kwh"
"8PM",2014-08-22,"пятница","2.189kwh"
"7PM",2014-05-20,"вторник","41.67kwh"
"2AM",2014-07-23,"среда","0.547kwh"
"2AM",2014-07-30,"среда","0.413kwh"
"7PM",2014-03-31,"понедельник","1.354kwh"
"5AM",2014-10-29,"среда","0.653kwh"
"4PM",2014-09-01,"понедельник","0.246kwh"
"8PM",2014-06-29,"воскресенье","3.434kwh"
"4PM",2014-03-02,"воскресенье","40.59kwh"
"5AM",2014-01-29,"среда","2.024kwh"
"8PM",2014-01-26,"воскресенье","42.88kwh"
"4PM",2014-03-17,"понедельник","0.355kwh"
"11PM",2014-06-04,"среда","0.882kwh"
"12PM",2014-07-22,"вторник","1.044kwh"
"1PM",2014-07-11,"пятница","40.96kwh"
"6PM",2014-04-16,"среда","0.336kwh"
"7AM",2014-06-21,"суббота","1.966kwh"
"7PM",2014-11-10,"понедельник","0.826kwh"
"7PM",2014-06-30,"понедельник","3.272kwh"
"7PM",2014-01-13,"понедельник","3.744kwh"
"9PM",2014-11-22,"суббота","0.157kwh"
"5AM",2014-10-20,"понедельник","0.561kwh"
"1AM",2014-01-26,"воскресенье","40.69kwh"
"11PM",2014-04-09,"среда","0.171kwh"
"7AM",2014-08-09,"суббота","1.613kwh"
"2AM",2014-04-16,"среда","0.065kwh"
"4PM",2014-12-20,"суббота","1.139kwh"
"12AM",2014-03-14,"пятница","0.223kwh"
"4AM",2014-07-16,"среда","0.514kwh"
"1PM",2014-03-23,"воскресенье","0.514kwh"
"2AM",2014-02-26,"среда","0.206kwh"
"4AM",2014-12-10,"среда","0.229kwh"
"12PM",2014-11-01,"суббота","0.297kwh"
"3PM",2014-07-08,"вторник","40.97kwh"
"5AM",2014-11-14,"пятница","40.49kwh"
"5PM",2014-11-20,"четверг","0.509kwh"
"8AM",2014-05-21,"среда","0.317kwh"
"1PM",2014-07-14,"понедельник","0.998kwh"
"6AM",2014-11-23,"воскресенье","0.414kwh"
"9AM",2014-03-18,"вторник","0.247kwh"
"3AM",2014-03-28,"пятница","0.163kwh"
"8AM",2014-09-18,"четверг","0.283kwh"
"3AM",2014-08-25,"понедельник","0.199kwh"
"7PM",2014-12-21,"воскресенье","2.178kwh"
"12AM",2014-06-22,"воскресенье","1.685kwh"
"4PM",2014-06-27,"пятница","0.634kwh"
"9AM",2014-08-13,"среда","0.418kwh"
"9AM",2014-10-20,"понедельник","0.196kwh"
"10AM",2014-04-21,"понедельник","0.112kwh"
"7PM",2014-10-11,"суббота","1.285kwh"
"5PM",2014-03-23,"воскресенье","0.605kwh"
"3PM",2014-01-10,"пятница","0.784kwh"
"6AM",2014-10-19,"воскресенье","0.446kwh"
"7AM",2014-05-26,"понедельник","0.727kwh"
"10PM",2014-03-29,"суббота","0.384kwh"
"1AM",2014-07-13,"воскресенье","0.806kwh"
"11AM",2014-05-13,"вторник","0.468kwh"
"1AM",2014-05-21,"среда","0.134kwh"
"3PM",2014-02-19,"среда","0.542kwh"
"7AM",2014-05-13,"вторник","0.634kwh"
"8PM",2014-07-25,"пятница","4.608kwh"
"9AM",2014-05-29,"четверг","0.194kwh"
"8AM",2014-01-13,"понедельник","0.832kwh"
"7PM",2014-02-20,"четверг","1.901kwh"
"5AM",2014-09-10,"среда","0.662kwh"
"10PM",2014-09-26,"пятница","40.47kwh"
"3AM",2014-06-21,"суббота","40.47kwh"
"8AM",2014-10-27,"понедельник","0.245kwh"
"10AM",2014-06-28,"суббота","0.972kwh"
"7PM",2014-01-23,"четверг","2.916kwh"
"7PM",2014-10-29,"среда","1.253kwh"
"11AM",2014-05-15,"четверг","40.42kwh"
"9AM",2014-06-18,"среда","0.567kwh"
"3PM",2014-06-19,"четверг","0.598kwh"
"5PM",2014-03-24,"понедельник","0.926kwh"
"11PM",2014-11-12,"среда","0.216kwh"
"7PM",2014-01-14,"вторник","3.276kwh"
"2AM",2014-12-31,"среда","0.187kwh"
"2PM",2014-01-10,"пятница","0.848kwh"
"11AM",2014-10-06,"понедельник","0.351kwh"
"3PM",2014-08-19,"вторник","0.576kwh"
"9AM",2014-03-22,"суббота","40.72kwh"
"11AM",2014-01-22,"среда","41.07kwh"
"11AM",2014-10-21,"вторник","0.318kwh"
"10AM",2014-04-28,"понедельник","40.12kwh"
"3PM",2014-12-31,"среда","0.356kwh"
"8AM",2014-03-04,"вторник","40.31kwh"
"6PM",2014-12-27,"суббота","2.059kwh"
"4PM",2014-09-19,"пятница","0.272kwh"
"3AM",2014-05-24,"суббота","0.288kwh"
"2AM",2014-11-28,"пятница","0.092kwh"
"3AM",2014-12-31,"среда","0.202kwh"
"3AM",2014-09-13,"суббота","0.195kwh"
"2AM",2014-09-18,"четверг","0.154kwh"
"5PM",2014-01-19,"воскресенье","1.926kwh"
"11PM",2014-11-22,"суббота","0.509kwh"
"5PM",2014-09-18,"четверг","0.774kwh"
"8PM",2014-08-07,"четверг","42.17kwh"
"1AM",2014-09-13,"суббота","0.206kwh"
"4AM",2014-09-24,"среда","0.151kwh"
"3AM",2014-10-19,"воскресенье","0.178kwh"
"6AM",2014-07-15,"вторник","3.283kwh"
"1PM",2014-04-25,"пятница","40.11kwh"
"6AM",2014-01-21,"вторник","2.712kwh"
"11AM",2014-02-22,"суббота","0.698kwh"
"8AM",2014-03-11,"вторник","0.378kwh"
"2AM",2014-09-10,"среда","0.139kwh"
"4PM",2014-08-24,"воскресенье","1.004kwh"
"7AM",2014-08-07,"четверг","1.015kwh"
"12AM",2014-10-16,"четверг","0.196kwh"
"3PM",2014-04-12,"суббота","0.273kwh"
"7AM",2014-07-12,"суббота","3.168kwh"
"4AM",2014-09-21,"воскресенье","0.187kwh"
"5AM",2014-11-30,"воскресенье","0.111kwh"
"12AM",2014-07-23,"среда","0.691kwh"
"11PM",2014-07-29,"вторник","1.176kwh"
"8PM",2014-01-18,"суббота","3.024kwh"
"8PM",2014-10-15,"среда","0.893kwh"
"1PM",2014-09-16,"вторник","0.286kwh"
"9AM",2014-10-03,"пятница","0.151kwh"
"3AM",2014-02-27,"четверг","0.252kwh"
"7PM",2014-11-23,"воскресенье","0.899kwh"
"6PM",2014-10-30,"четверг","0.916kwh"
"8AM",2014-10-08,"среда","0.288kwh"
"3PM",2014-05-22,"четверг","0.314kwh"
"3AM",2014-03-26,"среда","0.184kwh"
"10AM",2014-03-17,"понедельник","0.358kwh"
"10PM",2014-07-16,"среда","41.14kwh"
"1PM",2014-12-09,"вторник","0.365kwh"
"1PM",2014-02-19,"среда","0.456kwh"
"9AM",2014-04-26,"суббота","0.216kwh"
"9PM",2014-09-06,"суббота","0.305kwh"
"3AM",2014-03-18,"вторник","0.154kwh"
"8AM",2014-11-21,"пятница","0.189kwh"
"1AM",2014-12-17,"среда","0.198kwh"
"5AM",2014-03-03,"понедельник","0.959kwh"
"8AM",2014-04-26,"суббота","0.394kwh"
"11AM",2014-10-20,"понедельник","0.324kwh"
"2PM",2014-01-13,"понедельник","0.696kwh"
"11AM",2014-01-31,"пятница","41.01kwh"
"8AM",2014-12-14,"воскресенье","1.316kwh"
"12AM",2014-09-14,"воскресенье","0.521kwh"
"8PM",2014-01-22,"среда","2.944kwh"
"1AM",2014-03-21,"пятница","0.165kwh"
"5AM",2014-04-11,"пятница","0.274kwh"
"4PM",2014-08-21,"четверг","0.461kwh"
"12AM",2014-11-29,"суббота","0.313kwh"
"7PM",2014-12-17,"среда","2.277kwh"
"12PM",2014-06-27,"пятница","0.981kwh"
"1PM",2014-08-20,"среда","0.523kwh"
"2PM",2014-10-01,"среда","0.233kwh"
"1AM",2014-02-21,"пятница","0.235kwh"
"6PM",2014-07-07,"понедельник","3.461kwh"
"9AM",2014-08-22,"пятница","40.41kwh"
"12PM",2014-01-13,"понедельник","41.11kwh"
"4AM",2014-08-26,"вторник","0.214kwh"
"7PM",2014-09-26,"пятница","1.273kwh"
"1PM",2014-09-29,"понедельник","0.277kwh"
"10AM",2014-05-26,"понедельник","0.262kwh"
"10AM",2014-07-26,"суббота","1.584kwh"
"6AM",2014-04-14,"понедельник","0.299kwh"
"9PM",2014-06-05,"четверг","1.188kwh"
"10AM",2014-03-04,"вторник","0.275kwh"
"5AM",2014-06-27,"пятница","1.822kwh"
"11PM",2014-03-31,"понедельник","0.352kwh"
"6AM",2014-03-31,"понедельник","0.787kwh"
"5AM",2014-11-17,"понедельник","0.446kwh"
"1PM",2014-02-26,"среда","0.466kwh"
"3AM",2014-08-04,"понедельник","0.226kwh"
"5PM",2014-09-05,"пятница","0.946kwh"
"6AM",2014-01-11,"суббота","1.392kwh"
"11AM",2014-11-03,"понедельник","0.248kwh"
"2AM",2014-04-19,"суббота","0.077kwh"
"1PM",2014-04-09,"среда","0.103kwh"
"11AM",2014-06-25,"среда","0.819kwh"
"6PM",2014-12-20,"суббота","1.624kwh"
"11PM",2014-04-17,"четверг","0.132kwh"
"3PM",2014-11-15,"суббота","0.421kwh"
"9AM",2014-07-11,"пятница","0.742kwh"
"2AM",2014-08-23,"суббота","0.299kwh"
"2PM",2014-01-29,"среда","0.816kwh"
"8PM",2014-06-26,"четверг","2.419kwh"
"3AM",2014-03-27,"четверг","0.147kwh"
"2AM",2014-03-22,"суббота","0.192kwh"
"9PM",2014-11-20,"четверг","0.302kwh"
"4AM",2014-04-20,"воскресенье","0.088kwh"
"2AM",2014-05-29,"четверг","0.146kwh"
"2AM",2014-06-16,"понедельник","0.328kwh"
"4PM",2014-02-25,"вторник","0.566kwh"
"11PM",2014-05-24,"суббота","40.76kwh"
"2AM",2014-01-21,"вторник","40.46kwh"
"10PM",2014-04-16,"среда","0.141kwh"
"9AM",2014-02-15,"суббота","1.037kwh"
"8AM",2014-08-13,"среда","0.494kwh"
"4PM",2014-03-24,"понедельник","0.365kwh"
"11PM",2014-07-17,"четверг","1.404kwh"
"2PM",2014-10-21,"вторник","0.269kwh"
"10PM",2014-01-26,"воскресенье","40.90kwh"
"5PM",2014-07-16,"среда","3.682kwh"
"12PM",2014-03-11,"вторник","0.428kwh"
"10AM",2014-02-04,"вторник","0.528kwh"
"7PM",2014-05-23,"пятница","41.57kwh"
"6AM",2014-09-13,"суббота","0.487kwh"
"5PM",2014-02-13,"четверг","1.248kwh"
"4PM",2014-11-30,"воскресенье","0.393kwh"
"8AM",2014-12-11,"четверг","0.361kwh"
"3AM",2014-07-16,"среда","40.47kwh"
"10AM",2014-09-12,"пятница","0.283kwh"
"12AM",2014-12-22,"понедельник","40.37kwh"
"4AM",2014-03-23,"воскресенье","0.281kwh"
"11AM",2014-08-29,"пятница","0.528kwh"
"1AM",2014-06-15,"воскресенье","0.535kwh"
"2AM",2014-05-25,"воскресенье","0.281kwh"
"3AM",2014-03-13,"четверг","0.155kwh"
"11PM",2014-08-07,"четверг","40.69kwh"
"11AM",2014-11-23,"воскресенье","0.305kwh"
"3AM",2014-03-30,"воскресенье","0.242kwh"
"9PM",2014-12-31,"среда","0.766kwh"
"4PM",2014-04-18,"пятница","0.102kwh"
"3AM",2014-02-28,"пятница","40.23kwh"
"10AM",2014-10-31,"пятница","0.202kwh"
"12AM",2014-11-23,"воскресенье","0.324kwh"
"10AM",2014-10-22,"среда","0.209kwh"
"6PM",2014-08-19,"вторник","1.966kwh"
"8AM",2014-12-19,"пятница","0.444kwh"
"8PM",2014-09-25,"четверг","0.907kwh"
"5AM",2014-03-22,"суббота","0.192kwh"
"10AM",2014-06-13,"пятница","0.619kwh"
"7AM",2014-04-14,"понедельник","0.257kwh"
"10AM",2014-09-15,"понедельник","40.33kwh"
"10PM",2014-02-13,"четверг","40.51kwh"
"11AM",2014-07-31,"четверг","0.972kwh"
"2PM",2014-01-20,"понедельник","0.808kwh"
"11PM",2014-01-12,"воскресенье","40.91kwh"
"7AM",2014-09-18,"четверг","0.561kwh"
"8AM",2014-03-20,"четверг","0.291kwh"
"10PM",2014-07-09,"среда","0.984kwh"
"6PM",2014-05-31,"суббота","1.152kwh"
"6AM",2014-02-22,"суббота","1.085kwh"
"9PM",2014-10-10,"пятница","0.211kwh"
"6AM",2014-12-19,"пятница","1.056kwh"
"11PM",2014-04-10,"четверг","0.128kwh"
"3AM",2014-02-12,"среда","0.276kwh"
"11PM",2014-02-11,"вторник","0.516kwh"
"6PM",2014-09-29,"понедельник","40.99kwh"
"7AM",2014-03-28,"пятница","0.619kwh"
"9AM",2014-01-24,"пятница","0.606kwh"
"9PM",2014-08-27,"среда","0.864kwh"
"6PM",2014-02-28,"пятница","1.882kwh"
"11AM",2014-11-28,"пятница","0.257kwh"
"7AM",2014-12-12,"пятница","1.099kwh"
"11PM",2014-07-11,"пятница","2.472kwh"
"8PM",2014-01-09,"четверг","43.36kwh"
"4AM",2014-11-13,"четверг","0.086kwh"
"10AM",2014-03-20,"четверг","0.371kwh"
"1AM",2014-10-07,"вторник","0.122kwh"
"5PM",2014-10-16,"четверг","0.725kwh"
"4AM",2014-05-14,"среда","0.149kwh"
"10AM",2014-07-30,"среда","0.902kwh"
"6AM",2014-07-27,"воскресенье","2.131kwh"
"5PM",2014-06-25,"среда","2.644kwh"
"12AM",2014-04-13,"воскресенье","0.238kwh"
"9PM",2014-09-16,"вторник","40.37kwh"
"3PM",2014-05-15,"четверг","0.355kwh"
"11PM",2014-06-26,"четверг","0.891kwh"
"6PM",2014-03-08,"суббота","41.67kwh"
"11AM",2014-12-20,"суббота","0.561kwh"
"11PM",2014-02-14,"пятница","41.32kwh"
"6AM",2014-07-13,"воскресенье","1.747kwh"
"1PM",2014-03-26,"среда","0.288kwh"
"11AM",2014-03-03,"понедельник","0.356kwh"
"6AM",2014-01-12,"воскресенье","1.904kwh"
"6PM",2014-08-28,"четверг","1.915kwh"
"1AM",2014-10-29,"среда","0.143kwh"
"11PM",2014-06-24,"вторник","1.017kwh"
"9PM",2014-11-19,"среда","0.316kwh"
"8PM",2014-07-23,"среда","3.917kwh"
"11AM",2014-11-27,"четверг","0.221kwh"
"8PM",2014-05-28,"среда","1.203kwh"
"3AM",2014-12-21,"воскресенье","0.307kwh"
"6AM",2014-10-22,"среда","40.67kwh"
"1PM",2014-08-08,"пятница","0.547kwh"
"3AM",2014-02-16,"воскресенье","0.356kwh"
"1AM",2014-02-22,"суббота","0.385kwh"
"6AM",2014-02-19,"среда","1.397kwh"
"3AM",2014-05-30,"пятница","0.149kwh"
"12AM",2014-01-22,"среда","0.708kwh"
"6PM",2014-09-26,"пятница","0.794kwh"
"12PM",2014-10-11,"суббота","40.40kwh"
"9PM",2014-06-16,"понедельник","0.983kwh"
"11PM",2014-03-19,"среда","40.40kwh"
"12PM",2014-11-13,"четверг","0.243kwh"
"3PM",2014-08-17,"воскресенье","41.21kwh"
"8PM",2014-01-30,"четверг","2.784kwh"
"5PM",2014-09-01,"понедельник","0.946kwh"
